ID,Age,Gender,Age Group,Category,PC Group,Ascent,Descent,Finish,PC,Year_Overall_Place,Year_Gender_Place,Year_Age_Place,Year_Category_Place,Year_Overall%,Year_Gender%,Year_Age%,Year_Category%,Year,OverallPlace_CS_AT,GenderPlace_CS_AT,AgePlace_CS_AT,CategoryPlace_CS_AT,Overall%_CS_AT,Gender%_CS_AT,Age%_CS_AT,Category%_CS_AT
7514,24,F,20-29,F20-29,0.615,65.2666666666667,40.6666666666667,105.933333333333,0.616110761485211,24,5,9,3,0.538461538461538,0.705882352941177,0.357142857142857,0.5,2005,232,50,99,23,0.59581881533101,0.801587301587302,0.484375,0.752688172043011
1430,22,F,20-29,F20-29,0.615,84.75,52.2108333333334,136.960833333333,0.618790043382232,60,25,13,7,0.230769230769231,0.305555555555556,0.235294117647059,0.222222222222222,2020,498,197,173,78,0.132404181184669,0.218253968253968,0.0989583333333333,0.161290322580645
9530,23,F,20-29,F20-29,0.615,81.7,51.3266666666667,133.026666666667,0.614162573920016,36,18,16,8,0.121951219512195,0.142857142857143,0.111111111111111,0.2,2010,466,174,166,72,0.18815331010453,0.30952380952381,0.135416666666667,0.225806451612903
9666,28,F,20-29,F20-29,0.615,81.7,51.3283333333334,133.028333333333,0.614154879286367,37,19,17,9,0.0975609756097561,0.0952380952380952,0.0555555555555556,0.1,2010,467,175,167,73,0.186411149825784,0.305555555555556,0.130208333333333,0.21505376344086
3598,23,F,20-29,F20-29,0.615,78.4333333333333,49.75,128.183333333333,0.611884020283448,37,12,8,2,0.274509803921569,0.428571428571429,0.333333333333333,0.666666666666667,2004,433,153,161,67,0.245644599303136,0.392857142857143,0.161458333333333,0.279569892473118
2285,27,F,20-29,F20-29,0.615,76.5666666666667,47.7166666666667,124.283333333333,0.616065441866703,31,7,9,4,0.415094339622642,0.666666666666667,0.4,0.6,2002,399,131,150,57,0.304878048780488,0.48015873015873,0.21875,0.387096774193548
3270,23,F,20-29,F20-29,0.615,76.5,48.1616666666667,124.661666666667,0.613660975707582,56,21,16,8,0.325301204819277,0.416666666666667,0.111111111111111,0.2,2018,405,134,152,59,0.294425087108014,0.468253968253968,0.208333333333333,0.365591397849462
2783,26,F,20-29,F20-29,0.615,75.5833333333333,46.9666666666667,122.55,0.616755065959472,49,17,10,3,0.279411764705882,0.527777777777778,0.285714285714286,0.571428571428571,2013,389,126,144,53,0.322299651567944,0.5,0.25,0.43010752688172
8431,27,F,20-29,F20-29,0.615,71,44.2583333333333,115.258333333333,0.616007519340612,49,16,11,5,0.478723404255319,0.619047619047619,0.3125,0.375,2019,321,90,125,40,0.440766550522648,0.642857142857143,0.348958333333333,0.56989247311828
6208,24,F,20-29,F20-29,0.615,69.6666666666667,44.4333333333334,114.1,0.610575518550979,5,2,2,1,0.583333333333333,0.714285714285714,0,0,2006,315,87,122,38,0.451219512195122,0.654761904761905,0.364583333333333,0.591397849462366
